CS,A_D2D,A_D2E,A_O,A_CD,A_CP,A_CTD_green,A_CTD_yellow,A_CTD_red,A_CTL_green,A_CTL_yellow,A_CTL_red,A_D,A_T2DR,A_T2DS,A_TS,A_TR_doorchange,A_TR_nochange,B_D2D,B_D2E,B_O,B_CD,B_CP,B_CTD_green,B_CTD_yellow,B_CTD_red,B_CTL_green,B_CTL_yellow,B_CTL_red,B_D,B_T2DR,B_T2DS,B_TS,B_TR_doorchange,B_TR_nochange
1,0,40,0,10,1,0,1,0,0,1,0,0,2,0,0,0,0,30,0,0,10,1,1,0,0,1,0,0,10,2,10,1,0,1
2,0,0,0,0,1,1,0,0,1,0,0,0,2,5,1,0,0,30,80,0,0,1,0,0,1,0,0,1,10,2,5,1,0,0
3,10,0,1,5,1,0,1,0,0,1,0,10,2,0,0,0,0,30,80,1,0,1,0,0,1,0,0,1,0,2,0,0,0,1
4,10,80,0,10,1,0,0,1,0,0,1,50,1,5,1,0,0,30,40,1,10,1,0,1,0,0,1,0,0,1,0,0,0,0
5,30,80,1,5,4,1,0,0,1,0,0,10,2,0,0,1,0,70,40,1,10,4,0,1,0,0,1,0,25,2,10,1,0,0
6,70,0,1,10,4,1,0,0,1,0,0,10,1,10,1,1,0,10,80,1,5,4,1,0,0,1,0,0,0,1,0,0,1,0
7,10,0,1,10,1,0,0,1,0,0,1,25,1,0,0,0,0,30,40,1,0,4,0,0,1,0,0,1,10,1,0,0,0,0
8,10,80,0,5,4,0,1,0,0,1,0,25,2,5,1,1,0,70,40,1,5,4,0,0,1,0,0,1,10,2,0,0,1,0
9,30,0,0,0,1,0,0,1,0,0,1,10,1,0,0,0,1,70,80,1,0,4,1,0,0,1,0,0,10,1,10,1,0,0
10,70,0,1,0,1,0,0,1,0,0,1,10,1,5,1,0,1,30,80,0,0,1,1,0,0,1,0,0,10,1,5,1,1,0
11,30,40,0,10,4,1,0,0,1,0,0,10,4,10,1,1,0,10,80,0,5,4,1,0,0,1,0,0,0,4,0,0,1,0
12,10,40,0,5,1,1,0,0,1,0,0,0,2,10,1,1,0,30,80,0,0,1,0,1,0,0,1,0,25,2,0,0,1,0